,Brand,Model,Price(CAD),Price_save(CAD),Memory-Built-in(GB),Ram_size(GB),Display_resolution(pixels),Display_size(in),Colour,CPU,Front-Facing Camera Resolution(MP),Rear Camera Resolution(MP)  
910,APPLE,iPhone 7,499.0, 810,256,3.0,1080 x 1920,5.5,Silver,Apple A10 Fusion,7.0,24.0
911,APPLE,iPhone 5S,98.0, 51,16.0,3.0,1080 x 1920,5.5,Space Gray,Apple A10 Fusion,7.0,24.0
912,APPLE,iPhone 6s,279.0, 460,128,2.0,1334 x 750,4.7,Rose Gold,Apple A9,0.72,12.0
913,NO BRAND,no model,315.0, 454,128,2.0,1334 x 750,4.7,Rose Gold,Apple A9,0.72,12.0
914,APPLE,iPhone 6s,279.0, 460,128,2.0,1334 x 750,4.7,Gold,Apple A9,0.72,12.0
915,APPLE,iPhone 8,525.0, 224,64,3.0,1920 x 1080,5.5,Grey,Apple A11 Bionic,7.0,12.0
916,APPLE,iPhone 6s,319.0, 550,128,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
917,APPLE,iPhone 6s,315.0, 364,16,2.0,1920 x 1080,5.5,Space Gray,Dual-core 1.84 GHz Twister,5.0,12.0
918,APPLE,iPhone 7,359.0, 800,256,2.0,750 x 1334,4.7,Black,Apple A10 Fusion,7.0,12.0
920,REFURBISHED,- Apple,168.0, 132,16,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
921,REFURBISHED,- Apple,149.99,no sale,16,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
922,REFURBISHED,- Apple,699.99,no sale,16,2.0,1920 x 1080,5.5,Space Gray,Apple A9,0.72,12.0
923,IPHONE,5S 16GB,129.99,no sale,16,2.0,1920 x 1080,3.5,Space Gray,Apple A9,0.72,12.0
924,APPLE,iPhone 7,308.89, 242,16,2.0,750 x 1334,3.5,Black,Apple A10 Fusion,7.0,12.0
925,APPLE,iPhone 7,499.99,no sale,32,3.0,1080 x 1920,5.5,Silver,Apple A10 Fusion,7.0,24.0
926,REFURBISHED,- Apple,299.99,no sale,32,3.0,1080 x 1920,5.5,Silver,Apple A10 Fusion,7.0,24.0
927,APPLE,iPhone 6,199.99,no sale,32,1.0,1334 x 750,4.7,Gold,Apple A8,1.2,8.0
928,APPLE,Iphone 5S,149.99,no sale,32,1.0,1334 x 750,4.7,Gold,Apple A8,1.2,8.0
929,APPLE,iPhone SE,156.06, 144,32,2.0,1136 x 640,4.0,Gold,Dual-core 1.84 GHz Twister,1.2,12.0
930,IPHONE,SE 16gb,134.04,no sale,16,2.0,1136-by-640-pixel,4.0,Rose; White.,A9 chip with 64-bit&nbsp;architecture,1.2,12.0
931,APPLE,iPhone 7,449.99, 50,32,2.0,750 x 1334,4.7,Rose Gold,Apple A10 Fusion,7.0,12.0
932,APPLE,iPhone 6s,299.99,no sale,16,2.0,1920 x 1080,5.5,Gold,Apple A9,0.72,12.0
933,APPLE,iPhone 6s,149.99, 350,16,2.0,1334 x 750,4.7,Gold,1.84GHz,0.72,12.0
934,APPLE,iPhone 6,299.99, 100,64,1.0,1920 x 1080,5.5,Gold,Apple A8,1.2,8.0
935,APPLE,iPhone XR,699.99, 200,64.0,1.0,1920 x 1080,5.5,Black,Apple A8,1.2,8.0
936,APPLE,iPhone SE,179.99,no sale,64.0,1.0,1920 x 1080,4.0,Black,Apple A8,1.2,8.0
937,APPLE,iPhone 7,399.99,no sale,32,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
938,IPHONE,8 64GB,499.99, 200,32,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
939,REFURBISHED,- Apple,289.99, 409,32,2.0,750 x 1334,4.7,Silver,Apple A10 Fusion,7.0,12.0
940,IPHONE,5S 64GB,189.99,no sale,64,2.0,750 x 1334,3.5,Silver,Apple A10 Fusion,7.0,12.0
941,REFURBISHED,- Apple,189.99,no sale,64,2.0,750 x 1334,3.5,Silver,Apple A10 Fusion,7.0,12.0
942,NO BRAND,no model,159.99,no sale,64,2.0,750 x 1334,3.5,Silver,Apple A10 Fusion,7.0,12.0
943,REFURBISHED,- Apple,129.99,no sale,64,2.0,750 x 1334,3.5,Silver,Apple A10 Fusion,7.0,12.0
944,REFURBISHED,- Apple,159.99,no sale,64,2.0,750 x 1334,3.5,Silver,Apple A10 Fusion,7.0,12.0
945,APPLE,iPhone SE,249.99,no sale,32,2.0,1136 x 640,4.0,Rose Gold,Apple A9,0.72,12.0
946,REFURBISHED,- Apple,129.99,no sale,32,2.0,1136 x 640,4.0,Rose Gold,Apple A9,0.72,12.0
947,APPLE,iPhone 6,299.99,no sale,128,1.0,1334 x 750,4.7,Space Gray,Apple A8,1.2,8.0
948,APPLE,iPhone XR,749.99, 249,256,3.0,1792 x 828,6.1,Blue,Apple A12 Bionic,7.0,12.0
949,APPLE,iPhone 6,299.99,no sale,128,1.0,1334 x 750,4.7,Gold,Apple A8,1.2,8.0
950,REFURBISHED,- Apple,149.99, 420,128,1.0,1334 x 750,4.7,Gold,Apple A8,1.2,8.0
